names,gender
آدیشا,2
آدیشه,2
آدیگوزل,1
ادیم,1
آدین,1
آدینا,2
آدینه,2
آذار,2
آذر,2
آذران,1
آذراوغلی,1
آذرآیین,1
آذربابا,1
آذرباد,1
آذربان,1
آذربانو,2
آذربد,1
آذربرزین,1
آذربه,1
آذربهرام,1
آذربو,2
آذرپاد,1
آذرپی,1
آذرتاش,1
آذرتوس,1
آذرجهان,2
آذرجوش,1
آذرچهر,2
آذرخاتون,2
آذرخش,2
آذرداد,1
آذردخت,2
آذرسا,2
آذرشب,2
آذرشن,1
آذرطوس,1
آذرفر,1
آذرفروغ,2
آذرک,2
آذرگل,2
آذرگون,2
آذرمان,1
آذرماه,2
آذرمن,1
آذرمه,2
آذرمیدخت,2
آذرمینا,2
آذرنگ,2
آذرنوش,2
آذرهمایون,2
آذروان,1
آذریاس,2
آذرین,2
آذریون,2
آذین,2
آذین دخت,2
آذین گل,2
آرا,2
آرات,1
آراج,1
آراد,1
آرادخت,2
آراز,1
آرازش,1
آراس,1
اراسب,1
آراسب,1
اراسپ,1
آراسپ,1
آراسته,2
آراشید,2
آراکو,1
آراگل,2
آرال,1
آرالیا,2
آرام,2
آرام چهر,2
آرام دخت,2
آرامش,2
آرامه,2
آرامیان,1
آرامیس,2
اران,1
آران,1
آرای,2
آرایلی,2
آرایه,2
ارباب,1
ارباد,1
ارباس,1
اربیل,1
آرپان,1
ارتا,2
آرتا,1
آرتاباز,1
آرتابان,1
آرتاپارت,1
ارتادخت,2
آرتادخت,2
آرتاریا,1
ارتاش,1
آرتاش,1
ارتافرن,1
ارتافرین,1
آرتام,1
آرتامن,1
آرتامهر,1
آرتامیس,2
آرتان,1
آرتانا,2
ارتگین,1
آرتمن,1
آرتمیز,2
آرتمیس,2
آرتن,1
ارتنگ,1
آرتنوس,2
آرتوان,1
آرتور,1
آرتوش,1
آرتوم,1
آرتون,1
آرتونیس,2
آرتی,1
آرتیا,1
آرتیان,1
آرتیستون,2
آرتیکا,1
آرتیکاس,1
آرتیما,1
آرتیمان,1
آرتیمس,2
آرتین,1
آرتینا,2
آرتینه,2
ارجا,1
ارجاسب,1
ارجاسپ,1
ارجان,1
ارجمند,1
ارحام,1
اَرحام,1
آرخا,1
ارد,1
اردا,1
آردا,1
ارداک,1
اردشام,1
اردشیر,1
اردکام,1
اردلان,1
اردم,1
اردن,1
اردوان,1
اَردوان,1
اردی,2
اردیان,1
اردیبهشت,2
آردیسیا,2
اردین,1
آردین,1
آرزم,1
ارزنده,2
آرزو,2
ارزین,2
ارزینه,2
آرژان,1
ارژن,1
ارژنگ,1
آرژین,1
ارس,1
ارسا,2
آرسا,1
ارسام,1
اَرسام,1
آرسام,1
آرسامس,1
ارسامن,1
آرسامن,1
ارسان,1
آرسان,1
آرسانا,2
ارسای,1
آرسس,1
ارسطو,1
ارسل,1
ارسلان,1
اَرسلان,1
ارسمان,1
ارسن,1
آرسن,1
آرسو,2
ارسوی,1
ارسیا,1
آرسیس,1
ارسیما,1
آرسین,1
آرسینا,2
آرسینه,2
آرش,1
ارشا,1
آرشا,1
ارشاد,1
ارشاسب,1
ارشاک,1
آرشاک,1
ارشام,1
اَرشام,1
آرشام,1
ارشاما,1
ارشامه,2
ارشان,1
آرشان,1
ارشانوش,2
آرشاویر,1
آرشاوین,1
ارشد,1
ارشز,1
ارشک,1
اَرَشک,1
ارشکان,1
ارشمیدس,1
ارشن,1
آرشن,1
ارشویر,1
اَرشیا,1
آرشیا,1
آرشیت,2
آرشیدا,2
ارشیز,1
ارشین,2
آرشین,1
آرشینا,2
ارغان,1
ارغش,1
ارغند,1
ارغنون,2
ارغوا,1
ارغوان,2
ارغون,1
ارفش,1
ارفع,1
آرقون,1
آرکا,1
ارکان,1
آرکان,1
ارکیا,2
آرکیا,2
ارکیده,2
ارکین,1
آرگش,1
ارم,2
ارماسب,1
آرمان,1
آرمانا,2
آرماند,1
آرماندا,2
آرماندیس,2
ارمانک,1
ارمایل,1
آرمتی,2
ارمزد,1
ارمس,1
ارمغان,2
آرمناک,1
آرمند,1
آرمه,2
آرمهر,1
ارمیا,1
اِرمیا,1
آرمیا,1
آرمیتا,2
آرمیتاژ,2
آرمیتان,2
آرمیتی,2
آرمیدخت,2
آرمیس,2
آرمیلا,2
آرمین,1
ارمین دخت,2
آرمین دخت,2
آرمینا,2
آرمینه,2
آرمینی,1
آرن,1
آرنا,2
ارناز,2
ارناک,1
آرنام,1
آرنگ,1
ارنواز,2
آرنوش,2
آرنوشا,2
آرنیا,1
آرنیک,1
ارنیکا,2
آرنیکا,2
ارهام,1
آرهان,1
آرو,1
آروا,2
ارواد,1
آروان,1
آرورا,2
آروز,1
اروس,2
اروشا,2
آروشا,1
آروشا,2
اروشه,2
آروکو,1
آرون,1
ارونا,2
آرونا,2
اروند,1
آروند,1
آرویج,1
آروید,1
آرویشه,2
اروین,1
آروین,1
آروینا,2
آریا,1
آریاباد,1
آریابان,1
آریابد,1
آریابرز,1
آریابرزین,1
آریاچهر,2
آریادخت,2
اریار,1
آریاراد,1
آریارامنه,1
آریارمن,1
آریارمنه,1
آریاز,1
آریاس,1
آریاسام,1
اریاسب,1
آریاسپ,1
آریافر,1
اریاک,2
آریاک,1
آریاگیو,1
آریام,1
آریامن,1
آریامنش,1
آریامهر,1
آریان,1
آریان رضا,1
آریانا,2
آریاناز,2
آریانه,2
آریانوش,1
آریانیک,1
آریاوا,1
آریاوش,1
آریتما,1
اریحا,2
اریدیس,2
آریژه,2
اریس,1
آریس,1
اریسا,2
آریسا,2
آریسان,2
آریستا,2
آریسته,1
آریشا,1
آریشن,1
آریشیدا,2
اریکا,2
آریل,1
آریم,1
ارین,2
آرین,1
آرین دخت,2
آرین راد,1
آرین مهر,1
آرینا,2
آرینود,1
آریه,1
آریو,1
آریوان,1
آریوبرزن,1
آریوبرزین,1
آریوداد,1
آریوراد,1
آریوس,1
آریوسام,1
آریومهر,1
آریوند,1
آزا,1
آزات,1
آزاد,1
آزادبه,1
آزادچهر,2
آزاددخت,2
آزادسرو,1
آزادفروز,1
آزادمهر,1
آزاده,2
ازال,1
آزاله,2
آزالیا,2
ازدر,1
آزر,1
آزران,1
آزرم,2
آزرم چهر,2
آزرم دخت,2
آزرمان,1
آزرمیدخت,2
آزرمین,2
ازگل,2
ازل,2
آزما,1
آزمون,1
ازهار,2
ازهر,1
آزیتا,2
اژدر,1
آژمان,1
آژند,1
آژنگ,1
آژو,1
آژوان,1
آژیار,1
آسا,2
آساد,1
آسادخت,2
آساره,2
آسال,1
آسام,1
اسامه,1
اُسامه,1
آسانا,2
آساهیر,2
آسایش,2
اسپاتنا,1
آسپاداس,1
اسپاکو,2
اسپانتا,2
اسپاندا,2
اسپنتا,2
اسپنداد,1
اسپندیاد,1
اسپندیار,1
اسپنوی,2
آسپیان,1
اسپیتامن,1
اسپیتمان,1
اسپیتمن,1
استاتیرا,2
استانس,1
استبرق,2
استر,2
استرا,1
آسترید,2
استوان,1
آستیاژ,1
آستیاگ,1
اسحاق,1
اسحق,1
اسد,1
اسدالله,1
آسدین,1
اسرا,2
اسرار,2
اسرافیل,1
اسرین,2
اسعد,1
اسعدالدین,1
اسفار,1
اسفند,1
اسفندیار,1
اسکندر,1
آسکی,2
اسلام,1
آسلان,1
اسلم,1
اسما,2
اسماعیل,1
آسمان,2
آسمان هور,2
آسمانه,2
اسمر,2
آسمیتا,1
آسمین,2
اسنا,2
آسنا,2
آسنات,2
آسو,2
اسوار,1
آسودا,2
آسوده,2
اسوه,2
آسیا,2
آسیدات,1
آسیم,1
آسیمن,2
آسیمه,2
اسین,2
آسیه,2
اشا,2
آشا,2
آشار,1
آشام,1
اشتاد,1
اشتار,2
آشتی,2
اشتیاق,2
اشجان,2
آشر,1
اشراق,1
اشرس,1
اشرف,2
اشکان,1
اشکبوس,1
اشکش,1
آشکین,1
اشنا,1
آشنا,2
آشناس,1
اشو,1
اشواق,2
اشوان,1
آشور,1
آشورینا,2
آشوک,1
آشیان,2
اشیر,1
آشینا,1
اصغر,1
آصف,1
آصفه,2
اصلان,1
اَصلان,1
اصیل,1
اصیلا,2
اطرا,2
اطلس,2
اطلسی,2
اطهر,2
اطهره,2
آطوسا,2
اظهر,1
اعتبار,1
اعتصام,1
اعتماد,1
اعجاز,1
اعراف,2
اعظم,2
اعلا,1
اعلی,1
آغابانو,2
آغاجان,1
آغار,1
آغامیر,1
آغایار,1
اغریرث,1
آغنده,1
آغوش,2
آفاق,2
آفتاب,2
آفتاب دخت,2
افتخار,2
افتخارالدین,1
افخم,1
افرا,2
افراح,2
افراخته,2
افراز,2
افراسیاب,1
افراشته,2
افران,1
آفرت,2
افرند,2
آفرنگ,2
افروخته,2
افرود,1
افروز,2
افروزان,2
افروزه,2
افروشه,2
افروغ,2
افری,2
آفریده,2
افریدون,1
آفرین,2
آفرین ماه,2
آفرین مهر,2
آفرین ناز,2
آفرین نوش,2
افرینا,2
آفرینش,2
افسانه,2
افسر,2
افسرخاتون,2
افسردخت,2
افسون,2
افشار,1
افشان,2
آفشید,2
افشین,1
افصح,1
افضل,1
افضل الدین,1
افق,2
افلاطون,1
افنان,2
آق بانو,2
آق گل,2
اقاقیا,2
اقبال,1
اقدس,2
اقدم,1
اقلیما,2
اقلیمیا,2
آکاشا,2
آکام,1
آکای,1
اکبر,1
اکتای,1
اُکتای,1
اکدش,1
اکرام,2
اکرم,2
اکسیر,2
اکلیا,1
اکو,1
آکو,1
اکوان,1
آگاس,1
آگاه,1
آگاه دخت,2
آگرین,2
ال آی,2
ال ایستین,1
آلا,2
آلاء,2
آلاتان,1
آلار,2
الارا,2
الارز,2
الاروس,1
آلاز,1
آلاگل,2
آلاله,2
آلان,1
الانا,2
الاهه,2
آلاوه,2
الای,2
آلب,1
آلب ارسلان,1
آلب تکین,1
البتگین,1
آلبرت,1
البرز,1
آلپ,1
آلپ ارسلان,1
آلپ تکین,1
آلپار,1
آلپای,1
آلپر,1
آلپمان,1
آلتای,1
التجا,2
التفات,1
آلتنای,2
آلتون,2
آلتونتاش,1
التیام,2
آلتین,2
آلتین آی,2
آلتین گلین,2
الچین,1
الحان,2
الدنیز,1
الدوز,2
اُلدوز,1
الزا,2
السا,2
السان,2
السانا,2
السای,2
الشاد,2
الشن,1
اِلشن,1
الفت,2
آلقان,1
آلقین,1
الکا,2
الکوس,1
الگا,2
آلگون,2
اللهیار,1
آلما,2
آلماز,2
الماس,2
آلماگل,1
المیرا,2
المیس,2
المینا,2
الن,2
النا,2
الناز,2
آلنام,2
آلند,2
آلندا,2
النور,1
آلنوش,2
الها,2
الهام,2
الهه,2
الهه ناز,2
الوا,2
الوان,2
آلوگونه,2
الوند,1
الویرا,2
الوین,1
آلوینا,2
الیا,1
الیا,2
آلیا,1
الیاد,1
الیار,1
الیاس,1
الیاسین,1
الیان,1
الیانا,2
الیتا,2
الیز,2
الیزا,2
الیزابت,2
الیزه,2
آلیس,2
الیسا,2
الیستر,2
آلیش,2
آلیشا,2
آلیشان,2
الیکا,2
الیما,2
الین,2
آلین,2
الینا,2
آلینا,2
ام البنین,2
ام سلمه,2
ام فروه,2
ام کلثوم,2
آماتیس,2
آمال,2
امان,1
آمانج,2
اماندا,2
آماندا,1
آماندا,2
آماندانا,2
امانه,2
آمتیس,2
امجد,1
امرالله,1
آمستریدا,2
آمستریس,2
امل,2
آمن,1
آمنا,2
آمنه,2
آمنید,1
آمیار,1
آمیتریس,2
آمیتیدا,2
امیتیس,2
آمیتیس,2
امید,1
امید محمد,1
امیدبخش,1
امیدحسین,1
امیدرضا,1
امیدعلی,1
امیدمهدی,1
امیده,2
امیدوار,1
امیر,1
امیر اسحاق,1
امیر حافظ,1
امیر داوود,1
امیر شایان,1
امیر علی,1
امیر هانی,1
امیر هوراد,1
امیرا,2
امیرابراهیم,1
امیرابوالفضل,1
امیراتابک,1
امیراحتشام,1
امیراحسان,1
امیراحمد,1
امیرآراد,1
امیرآرتا,1
امیراردلان,1
امیراردوان,1
امیرارسام,1
امیرارسلان,1
امیرآرش,1
امیرارشا,1
امیرآرشام,1
امیرارشان,1
امیرارشد,1
امیرارشیا,1
امیرآرمن,1
امیرآرمین,1
امیرآریا,1
امیرآریان,1
امیراسعد,1
امیراسماعیل,1
امیراشکان,1
امیراصلان,1
امیراعلا,1
امیرافراز,1
امیرافشین,1
امیراقبال,1
امیراکبر,1
امیرالدین,1
امیران,1
امیرایوب,1
امیرآیین,1
امیربابک,1
امیرباربد,1
امیرباقر,1
امیربردیا,1
امیربرنا,1
امیربهادر,1
امیربهامین,1
امیربهتاش,1
امیربهراد,1
امیربهرام,1
امیربهزاد,1
امیربهمن,1
امیربهنود,1
امیرپارسا,1
امیرپاشا,1
امیرپدرام,1
امیرپرهام,1
امیرپوریا,1
امیرپویا,1
امیرپویان,1
امیرتارخ,1
امیرتوهان,1
امیرثامن,1
امیرجاوید,1
امیرجعفر,1
امیرجهاد,1
امیرجواد,1
امیرحافظ,1
امیرحامد,1
امیرحامی,1
امیرحجت,1
امیرحسام,1
امیرحسام الدین,1
امیرحسان,1
امیرحسن,1
امیرحسین,1
امیرحشمت,1
امیرحمزه,1
امیرحیان,1
امیرحیدر,1
امیرخسرو,1
امیرخشایار,1
امیردارا,1
امیردانش,1
امیردخت,2
امیرذوالفقار,1
امیرراد,1
امیررادین,1
امیررحمت,1
امیررسا,1
امیررسام,1
امیررسول,1
امیررشید,1
امیررضا,1
امیررهام,1
امیرساسان,1
امیرسالار,1
امیرسام,1
امیرسامان,1
امیرسبحان,1
امیرسپهر,1
امیرستار,1
امیرسجاد,1
امیرسراج,1
امیرسرمد,1
امیرسعدی,1
امیرسعید,1
امیرسلیمان,1
امیرسهیل,1
امیرسیاوش,1
امیرسینا,1
امیرشایان,1
امیرشریف,1
امیرشکور,1
امیرشمس الدین,1
امیرشهاب,1
امیرشهریار,1
امیرصابر,1
امیرصادق,1
امیرصالح,1
امیرصدرا,1
امیرصدرالدین,1
امیرصیام,1
امیرضیاءالدین,1
امیرطارق,1
امیرطاها,1
امیرطاهر,1
امیرعابد,1
امیرعادل,1
امیرعارف,1
امیرعباس,1
امیرعبدالله,1
امیرعدنان,1
امیرعرشیا,1
امیرعرفان,1
امیرعطا,1
امیرعظیم,1
امیرعلا,1
امیرعلی,1
امیرعماد,1
امیرفاضل,1
امیرفخر,1
امیرفراز,1
امیرفرامرز,1
امیرفربد,1
امیرفرحان,1
امیرفرداد,1
امیرفرزام,1
امیرفرزین,1
امیرفرشاد,1
امیرفرشید,1
امیرفرنام,1
امیرفرهام,1
امیرفرهنگ,1
امیرفضل الله,1
امیرفواد,1
امیرفیاض,1
امیرقادر,1
امیرقاسم,1
امیرکارن,1
امیرکاظم,1
امیرکامیار,1
امیرکاوه,1
امیرکرار,1
امیرکسرا,1
امیرکنعان,1
امیرکوروش,1
امیرکوشا,1
امیرکوشان,1
امیرکیا,1
امیرکیارش,1
امیرکیان,1
امیرکیانوش,1
امیرکیهان,1
امیرکیوان,1
امیرماکان,1
امیرماهان,1
امیرمتین,1
امیرمجتبی,1
امیرمجید,1
امیرمحتشم,1
امیرمحراب,1
امیرمحسن,1
امیرمحمد,1
امیرمحمود,1
امیرمختار,1
امیرمرتضی,1
امیرمردان,1
امیرمرصاد,1
امیرمسعود,1
امیرمسلم,1
امیرمشهود,1
امیرمصطفی,1
امیرمظفر,1
امیرمعز,1
امیرمعین,1
امیرمنصور,1
امیرمهبد,1
امیرمهدی,1
امیرمهدیار,1
امیرمهراد,1
امیرمهراس,1
امیرمهرداد,1
امیرمهرگان,1
امیرمهیار,1
امیرمومن,1
امیرمیعاد,1
امیرمیکائیل,1
امیرناصر,1
امیرنظام,1
امیرنیکان,1
امیرنیما,1
امیره,2
امیرهاتف,1
امیرهادی,1
امیرهاشم,1
امیرهدایت,1
امیرهمایون,1
امیرهمت,1
امیرهوشنگ,1
امیرهوشیار,1
امیرهومان,1
امیرهومن,1
امیروالا,1
امیروحید,1
امیروصال,1
امیروفا,1
امیروهاب,1
امیریارا,1
امیریاسین,1
امیریحیی,1
امیریدالله,1
امیریزدان,1
امیریعقوب,1
امیریل,1
امیریوسف,1
امیسا,2
امیل,2
امیله,2
امیلیا,2
امیمه,2
امین,1
آمین,1
امین ابراهیم,1
امین احمد,1
امین الدین,1
امین الله,1
امین پارسا,1
امین پاشا,1
امین حسین,1
امین رحمان,1
امین رضا,1
امین سالار,1
امین سجاد,1
امین صدرا,1
امین طاها,1
امین عباس,1
امین عطا,1
امین علی,1
امین محمد,1
امین مهدی,1
امینا,2
امینه,2
آنا,2
آنابیتا,2
آناتا,2
آناتای,2
آنادل,2
انار,2
آنار,1
انارام,2
انارگل,2
آناشید,2
آناگ,1
آنالی,2
آنام,1
آنامهر,2
آناناز,2
آناهل,2
آناهیت,2
آناهیتا,2
آناهید,2
آنایاش,2
آنائل,2
انتصار,2
انتظار,1
آنجلا,2
اندرز,1
اندریمان,1
اندمان,1
آندیا,2
اندیان,1
اندیش,1
اندیشه,2
آنسه,2
انسی,2
انسیه,2
انشان,1
انصار,1
انفال,2
انگیزه,2
آنلار,1
آنلی,2
انهار,2
آنو,2
انور,1
انوش,1
آنوش,1
انوشا,2
آنوشا,2
انوشتکین,1
انوشروان,1
انوشک,2
انوشکا,2
انوشه,2
آنوشه,1
انوشیروان,1
آنوهه,2
آنی,2
آنیا,2
آنیت,1
آنیتا,2
آنید,2
آنیدا,2
انیژ,2
انیس,2
آنیس,2
انیسا,2
آنیسا,2
انیسه,2
انیسون,2
آنیشا,2
آنیک,1
آنیکا,2
آنیل,1
آنیل,2
آنیلا,2
آنیلار,2
انیم,1
آنیما,2
آنیه,2
اهدا,2
اهرن,1
آهنگ,2
اهنوس,2
آهو,2
آهودخت,2
اهورا,1
اهوراداد,1
اهورامزد,1
آهید,2
آهیر,1
آهیل,1
آوا,2
آوات,1
آوادان,2
آوادخت,2
آوادیس,2
آواز,2
آوازه,2
اوان,1
آوان,2
آوانا,2
آواناز,2
آوانوش,2
اوتانا,2
اوچار,1
اوحد,1
اوخان,1
اوختای,1
اوراز,1
اوراش,1
اورامان,1
اورامن,1
اورانوس,2
اورخان,1
اورداد,1
اورمان,1
اورمزد,1
اورمزدیار,1
اورند,1
اورنگ,1
اورنینا,2
اورهان,1
اوریا,1
آورین,2
اورینا,2
اوزان,1
اوژن,1
اوستا,1
اَوستا,1
آوش,1
اوشهنگ,1
اوکتای,1
آوگان,1
اولاد,1
اولجایتو,1
اولدوز,2
اولین,2
اونای,1
آوند,1
آونگ,2
اونیک,1
آوه,1
اویان,1
اویتا,2
آوید,2
آویده,2
آویر,1
آویز,2
آویژه,2
اویس,1
آویسا,2
آویشا,2
آویشار,1
آویشن,2
اوین,2
آوین,2
آوینا,2
اوینار,2
آی آنا,2
آی بک,1
آی پری,2
آی میرا,2
آیات,2
آیاتای,2
آیاز,1
آیاش,1
آیان,1
ایبک,1
آیپارا,2
ایپک,2
آیت,1
ایتا,2
آیتا,2
آیتاش,2
آیتان,2
آیتای,2
آیتغمش,1
آیتک,2
آیتکین,1
آیتکین,2
آیتن,2
ایتوک,2
آیتونا,1
آیتین,2
ایثار,2
آیجان,2
آیحان,1
آیخان,1
ایدا,2
آیدا,2
آیدان,2
آیدانا,2
آیدک,2
آیدل,2
آیدن,1
آیدنگ,2
ایده,2
ایدون,1
آیدیس,2
آیدین,1
آیدینا,2
آیرا,2
ایراث,1
آیراد,1
آیرال,2
ایران,2
ایران دخت,2
ایران مهر,2
ایرانا,2
آیرانا,2
ایرانشید,2
ایرانه,2
ایرانیار,1
ایرتا,1
ایرج,1
آیرخ,2
ایرسا,2
ایرما,2
ایرمان,1
ایرن,2
آیریا,2
آیریانا,2
ایریس,2
آیریس,2
آیریک,1
آیرین,2
آیزا,2
ایزابل,2
ایزابلا,2
ایزدبخش,1
ایزدبد,1
ایزدچهر,2
ایزدداد,1
ایزدراد,1
ایزدگشسب,1
ایزدمهر,1
ایزدوند,1
ایزدیار,1
آیسا,2
آیسان,2
آیسانا,2
آیسل,2
آیسن,2
آیسو,2
آیسودا,2
آیسوده,2
آیسون,2
آیسونا,2
آیسین,2
ایشا,1
آیشا,2
ایشاع,2
ایشتار,2
آیشن,2
آیشید,2
آیشیل,2
آیشین,2
آیفر,2
ایقان,1
آیقین,1
آیکال,1
آیکان,1
آیگل,2
آیگین,2
ایل آنا,2
ایل آی,2
ایل لار,2
ایل ماه,2
ایل نور,2
ایلا,2
آیلا,2
آیلار,2
ایلاف,2
آیلان,2
ایلانا,2
ائل‌آی,2
ایلایدا,2
ایلپیا,1
ایلتای,1
ایلحان,1
ایلدا,2
ایلدرم,1
ایلدنیز,1
ایلدیر,2
آیلر,2
ایلرای,1
ایلسا,2
ایلسانا,2
ایلشاد,1
ایلشن,1
ایلشَن,1
ایلقار,1
ایلکان,1
ایلکای,2
ایلکین,1
ایلگار,1
آیلما,2
ایلماز,1
ایلمان,1
ائلمان,1
ایلنار,2
ایلناز,2
ایلهان,1
ایلوش,1
ائلوین,1
آیلی,2
ایلیا,1
ایلیاد,1
ایلیار,1
ایلیاز,1
ایلیان,1
ایلیانا,2
ایلیکا,2
آیلین,2
ایما,2
آیما,2
ایماز,1
ایمان,1
ایمانا,2
ایمانه,2
آیماه,2
ایمن,1
ایمنه,2
آینا,2
آینار,2
آیناز,2
ایناس,2
آینام,2
اینانا,2
آینه,2
آینور,2
آینوش,2
آیه,2
ایهاب,1
آیهان,1
ایوا,2
ایواز,2
ایوان,2
ایوب,1
آیید,2
آییژ,2
آییش,1
آئیل,1
آیین,1
آیینه,2
بابان,2
بابر,1
بابک,1
بابوس,2
بابوی,1
بابیک,1
بابیلان,2
باتیس,1
باتینک,2
باتینوک,2
باختر,2
بادان,1
بادر,2
بادرام,1
باذان,1
باراد,1
باراک,1
باران,2
بارانا,2
بارانک,2
بارانه,2
باربد,1
بارزان,1
بارسین,1
بارش,2
بارشین,1
بارقه,2
بارلی,2
بارمان,1
بارنک,2
بارنگ,2
باریا,1
باریتا,2
باریزان,2
باریسان,1
باریش,1
بارین,2
بازیار,1
بازیان,1
باژه,1
باستان,1
باستین,1
باستینگ,2
باسط,1
باسکار,2
باسل,1
باسم,1
باشار,1
باشن,2
باشوک,1
بافرین,2
باقر,1
باقیه,2
باگرو,1
باگه,1
بالان,2
بالنده,2
بالوی,1
بالویز,1
بالی,2
بالیده,2
بامداد,1
بامشاد,1
بامک,2
بامی,2
بامیک,2
بامیکا,2
بامین,2
بانری,2
بانگ,1
بانل,2
بانو,2
بانورام,2
بانوکا,2
بانوگشسب,2
بانیپال,1
بانیه,2
باهر,1
باهره,2
باهک,1
باوان,2
باور,1
باوند,1
باوین,2
بایا,1
بایار,1
بایام,1
بایخ,2
بایرام,1
بایرامعلی,1
بایزید,1
بایسته,2
بتسابه,2
بتول,2
بتیا,2
بتیس,1
بتیسا,2
بتین,2
بثینه,2
بحیرا,1
بخت آفرید,2
بختاور,1
بختوان,2
بختور,2
بختیار,1
بخشا,1
بخشایش,1
بخشنده,2
بخشین,2
بدخشان,2
بدرالجمال,2
بدرالزمان,2
بدرالملوک,2
بدرام,1
بدری,2
بدریه,2
بدیع,1
بدیع الزمان,1
بدیعه,2
برات,1
براخاس,1
براخاص,1
برادوست,1
براز,1
برازا,2
برازان,1
برازک,2
برازمان,1
برازنده,1
برام,1
برانوش,1
براهام,1
برایکا,1
برتن,1
برته,1
برچاو,1
بردان,1
بردبار,1
بردیا,1
بَردیا,1
بردیس,1
بردین,1
برزآذر,1
برزآفرید,2
برزام,1
برزان,1
برزفر,1
برزفری,1
برزما,1
برزمند,1
برزمهر,1
برزو,1
برزویه,1
برزین,1
بَرزین,1
برزین مهر,1
برژنگ,2
